data,data_more_info,nome,genero,endereco-arrumado,lat,long,tombado,link,iphan,fonte,tipo,materia,condeph,conpres,autor,endereco-original
1989,1989,Simón Bolívar,homem,Praça Libertador Simon Bolívar,-23.57509,-46.67107,N,não consta,não consta,DPH/SMC,Herma,bronze e mármore,não consta,não consta,PRATTI E.,Praça Libertador Simón Bolívar
2004,,Alegres Saudaçőes Para Lucinha,não figurativo,Praça Lucinha Mendonça,-23.60534,-46.65128,N,não consta,não consta,DPH/SMC,Escultura Abstrata,aço pintado,não consta,não consta,"NITSCHE, Marcelo",Praça Lucinha Mendonça
2008,2008,Monumento Ŕs Musas da Escultura e da Engenharia,não figurativo,Praça Luis Carlos Paraná,-23.58213,-46.6841,N,não consta,não consta,DPH/SMC,Grupo escultórico,bronze e granito,não consta,não consta,"EMENDABILI, Galileo",Praça Luís Carlos Paraná
1938,Entre 1938 - 1945,Celso Garcia,homem,Praça Major Guilherme Rudge,-23.53734,-46.58894,N,não consta,não consta,DPH/SMC,Herma,bronze e granito,não consta,não consta,"PETRUCCI, Lorenzo",Praça Major Guilherme Rudge
1960,196-,Barbeiro Anedes,homem,Praça Marcos Manzini,-23.64418,-46.70895,N,não consta,não consta,DPH/SMC,Painel,alvenaria de tijolos concreto e mosaico de pedras,não consta,não consta,"GUERRA, Julio",Praça Marcos Manzini
1990,1990,IGUATINGA (Fragmento do Monumento a Paulo Eiró),não figurativo,Praça Marcos Manzini,-23.64418,-46.70895,N,não consta,não consta,DPH/SMC,Estátua,bronze,não consta,não consta,"GUERRA, Julio",Praça Marcos Manzini (interior da Biblioteca Prestes Maia)
1991,1991,Caminho,não figurativo,Praça Marechal Cordeiro de Farias,-23.55435,-46.66427,N,não consta,não consta,DPH/SMC,Escultura Abstrata,alumínio pintado,não consta,não consta,"AMARAL, Lilian; BASSANI, Jorge",Praça Marechal Cordeiro de Farias
1929,1929,Doutor Luís Pereira Barreto,homem,Praça Marechal Deodoro,-23.53384,-46.65581,N,não consta,não consta,DPH/SMC,Grupo escultórico,bronze e granito,não consta,não consta,"EMENDABILI, Galileo",Praça Marechal Deodoro
2011,2011,Monumento ao Trabalhador do Asseio Conservaçăo e Limpeza Urbana,homem,Praça Marechal Deodoro,-23.53384,-46.65581,N,não consta,não consta,DPH/SMC,Estátua,bronze,não consta,não consta,"TOLEDO, Murilo Sá",Praça Marechal Deodoro
1940,ca. 1940,O índio e o tamanduá,homem,Praça Marechal Deodoro,-23.53384,-46.65581,N,não consta,não consta,DPH/SMC,Grupo escultórico,bronze e granito,não consta,não consta,desconhecido,Praça Marechal Deodoro
1953,Entre 1950 - 1953,Monumento a Paulo Eiró,homem,Praça Marechal Floriano Peixoto,-23.647024,-46.702238,N,não consta,não consta,DPH/SMC,Chafariz Toten,alvenaria e mosaico de pedras,não consta,não consta,"GUERRA, Julio",Praça Marechal Floriano Peixoto
1946,1946,Tenente Coronel Carlos da Silva Araújo,homem,Praça Marechal Floriano Peixoto,-23.647024,-46.702238,N,não consta,não consta,DPH/SMC,Herma,bronze e granito,não consta,não consta,"GUERRA, Julio",Praça Marechal Floriano Peixoto
1900,19--,Menorah,não figurativo,Praça Mashiac Now,-23.51172,-46.62145,N,não consta,não consta,DPH/SMC,Candelabro,concreto e ferro,não consta,não consta,desconhecido,Praça Mashiach Now
1993,1993,Praça Máximos IV Sayegh,não figurativo,Praça Máximos IV Sayegh,-23.57609,-46.64253,N,não consta,não consta,DPH/SMC,Marco,concreto e granito,não consta,não consta,desconhecido,Praça Máximos IV Sayegh
1999,ca. 1999,Moraes Sarmento,homem,Praça Moraes Sarmento,-23.54619,-46.67322,N,não consta,não consta,DPH/SMC,Medalhăo estela,bronze e concreto,não consta,não consta,desconhecido,Praça Moraes Sarmento
1938,Entre 1938 - 1945,Último Acorde,não figurativo,Praça Morungaba,-23.57715,-46.68433,N,não consta,não consta,DPH/SMC,Estátua,granito e bronze,não consta,não consta,"COLUCCINI, Lélio",Praça Morungaba
1900,19--,Cruz Papal,não figurativo,Praça Nossa Senhora do Brasil,-23.56978,-46.6721,N,não consta,não consta,DPH/SMC,Cruzeiro,fulget e pastilhas,não consta,não consta,desconhecido,Praça Nossa Senhora do Brasil
1900,19--,Aos Pracinhas a Homenagem e a Gratidăo do Parque Novo Mundo,homem,Praça Novo Mundo,-23.51734,-46.56766,N,não consta,não consta,DPH/SMC,Obelisco,granito,não consta,não consta,desconhecido,Praça Novo Mundo
2004,2004,Homenagem ao Căo Salomăo,não figurativo,Praça Oscar da Silva,-23.5073,-46.60123,N,não consta,não consta,DPH/SMC,Marco,alvenaria de tijolos e aço,não consta,não consta,desconhecido,Praça Oscar da Silva
1920,192-,Índio Pescador,homem,Praça Oswaldo Cruz,-23.57156,-46.64439,N,não consta,não consta,DPH/SMC,Chafariz Estátua,bronze alvenaria e argamassa de cimento,não consta,não consta,"LEOPOLDO E SILVA, Francisco",Praça Oswaldo Cruz
2013,11/2013,Plexus,não figurativo,Praça Oswaldo Cruz,-23.57156,-46.64439,N,não consta,não consta,DPH/SMC,Estátua,alumínio,não consta,não consta,"BONOMI, Maria",Praça Oswaldo Cruz - Av. Bernardino de Campos x Av. Paulista
1989,1989,Padre Charboneau,homem,Praça Padre Arnaldo,-23.51503,-46.72003,N,não consta,não consta,DPH/SMC,Marco,granito e bronze,não consta,não consta,desconhecido,Praça Padre Charboneau
1977,1977,Padre Bento Dias Pacheco,homem,Praça Padre Bento,-23.5331,-46.61867,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,desconhecido,Praça Padre Bento
1932,1932,Santo de Lisboa,não figurativo,Praça Padre Bento,-23.5331,-46.61867,N,não consta,não consta,DPH/SMC,Grupo escultórico,bronze e granito,não consta,não consta,"FRICK, Ferdinando",Praça Padre Bento
2000,2000,Força Expedicionária Brasileira,não figurativo,Praça Padre Damião,-23.58148,-46.58533,N,não consta,não consta,DPH/SMC,Marco,ferro concreto e bronze,não consta,não consta,desconhecido,Praça Padre Damiăo
1992,1992,Cristóforo Colombo,homem,Praça Panamericana,-23.55456,-46.70894,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"MORRONE, Luiz",Praça Panamericana
1993,1993,Quinhentos Anos de Miscigenaçăo,não figurativo,Praça Panamericana,-23.55456,-46.70894,N,não consta,não consta,DPH/SMC,Marco,concreto e cerâmica,não consta,não consta,"MONK, Barry",Praça Panamericana
1985,ca. 1985,Padre José Kentenich,homem,Praça Pe. José Kentenich,-23.45099,-46.73094,N,não consta,não consta,DPH/SMC,Herma,ferro e concreto,não consta,não consta,desconhecido,Praça Padre José Kentenich
1944,ca. 1944,Diana a Caçadora,mulher,Praça Pedro Lessa,-23.54229,-46.63565,N,não consta,não consta,DPH/SMC,Estátua,bronze e argamassa,não consta,não consta,desconhecido,Praça Pedro Lessa
1978,1978,Crucifixo,não figurativo,Praça Pérola Byington,-23.55616,-46.63976,N,não consta,não consta,DPH/SMC,Crucifixo,bronze e granito,não consta,não consta,desconhecido,Praça Pérola Byington
2002,2002,Carlos Drummond de Andrade,homem,Praça Poe. Carlos Drummond de Andrade,-23.61207,-46.71169,N,não consta,não consta,DPH/SMC,Marco,granito,não consta,não consta,desconhecido,Praça Poeta Drummond de Andrade
1977,1977,Antonieta Rudge,mulher,Praça Portugal,-23.56446,-46.67817,N,não consta,não consta,DPH/SMC,Cabeça,bronze e granito,não consta,não consta,"MORRONE, Luiz",Praça Portugal
2008,2008,Gibran Khalil Gibran,homem,Praça Prf. Jairo de Almeida Ramos,-23.59602,-46.66415,N,não consta,não consta,DPH/SMC,Cabeça,bronze e granito,não consta,não consta,"EID, Odette",Praça Professor Jairo de Almeida Ramos
2000,2000,Homenagem da Colônia Líbano-Brasileira em Comemoraçăo dos 500 Anos do Descobrimento do Brasil,homem,Praça Prf. Jairo de Almeida Ramos,-23.59602,-46.66415,N,não consta,não consta,DPH/SMC,Escultura Figurativa,bronze e granito,não consta,não consta,"EID, Odette",Praça Professor Jairo de Almeida Ramos
1973,1973,Professor Jairo de Almeida Ramos,homem,Praça Prf. Jairo de Almeida Ramos,-23.59602,-46.66415,N,não consta,não consta,DPH/SMC,Placa,alvenaria de tijolos e bronze,não consta,não consta,desconhecido,Praça Professor Jairo de Almeida Ramos
1960,1960,Monumento ao Duque de Caxias,homem,Praça Princesa Isabel,-23.53658,-46.64268,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,Pro SC 49698/04,não consta,"BRECHERET, Victor",Praça Princesa Isabel
1975,ca. 1975,Nostalgia,não figurativo,Praça Professor Cardim,-23.58007,-46.70171,N,não consta,não consta,DPH/SMC,Estátua,mármore granito e bronze,não consta,não consta,"LEOPOLDO E SILVA, Francisco",Praça Professor Cardim
1979,1979,Sem Título,não figurativo,Praça Professor José Lannes,-23.60107,-46.69175,N,não consta,não consta,DPH/SMC,Escultura Abstrata,aço pintado,não consta,não consta,"OHTAKE, Tomie",Praça Professor José Lannes
1988,1988,Professor Mário Olavo Guzzo,homem,Praça Professor Mário Bulcão,-23.60708,-46.56352,N,não consta,não consta,DPH/SMC,Herma,bronze e argamassa,não consta,não consta,"MORRONE, Luiz",Praça Professor Mário Olavo Guzzo
1940,194-,O Ceifador,homem,Praça Professor Resende Puech,-23.55891,-46.69659,N,não consta,não consta,DPH/SMC,Estátua,mármore e granito,não consta,não consta,"MOREAU, Mathurin",Praça Professor Resende Puech
1988,1988,Fernando Pessoa,homem,Praça Professora Emília Barbosa Lima,-23.54602,-46.70294,N,não consta,não consta,DPH/SMC,Busto,bronze e granito,não consta,não consta,"VILLAR, Maria Irene",Praça Professor Rossini Tavares de Lima
1985,1985,Infante Dom Henrique,homem,Praça Professora Emília Barbosa Lima,-23.54602,-46.70294,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"MORRONE, Luiz",Praça Professor Rossini Tavares de Lima
1992,1992,Conselheiro Joăo José da Silva Carrăo,não figurativo,Praça Quinze de Outubro,-23.553,-46.52823,N,não consta,não consta,DPH/SMC,Herma,bronze e argamassa,não consta,não consta,"SANTOS, Adilson Charles dos",Praça Quinze de Outubro
1988,,Amizade Sírio-Libanesa,não figurativo,Praça Ragueb Chohfi,-23.54487,-46.63158,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Grupo escultórico,bronze e granito,não consta,RES. 17/2007,"XIMENES, Ettore",Praça Ragueb Chohfi
1988,1988,Ragueb Chohfi,homem,Praça Ragueb Chohfi,-23.54487,-46.63158,N,não consta,não consta,DPH/SMC,Herma,bronze e granito,não consta,não consta,desconhecido,Praça Ragueb Chohfi
1922,1922,Monumento a Carlos Gomes,homem,Praça Ramos de Azevedo,-23.54509,-46.63809,S,https://www.prefeitura.sp.gov.br/cidade/upload/d475b_37_T_Vale_do_Anhangabau.pdf,não consta,DPH/SMC,Chafariz grupo escultórico,bronze  mármore e granito,não consta,RES. 37/1992,"BRIZZOLLARA, Luiz",Praça Ramos de Azevedo
1930,1930,Rui Barbosa,homem,Praça Ramos de Azevedo,-23.54509,-46.63809,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"CUCÉ, José",Praça Ramos de Azevedo
1958,1958,O Ferroviário,homem,Praça René Barreto,-23.51797,-46.70718,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"CIPICCHIA, Ricardo",Praça Renê Barreto
1976,1976,V Aniversário da Paineira,não figurativo,Praça René Barreto,-23.51797,-46.70718,N,não consta,não consta,DPH/SMC,Marco,alvenaria de tijolos e bronze,não consta,não consta,desconhecido,Praça Renê Barreto
1992,1992,Monumento em Homenagem Aos Pioneiros da Imigraçăo Coreana,homem,Praça República da Koréia,-23.53579,-46.61632,N,não consta,não consta,DPH/SMC,Marco,granito e metal,não consta,não consta,desconhecido,Praça República da Coréia
1985,1985,Monumento da Liberdade – Marco Comemorativo do Cinqüentenário da Imigraçăo Lituana,não figurativo,Praça República Lituana,-23.58998,-46.57637,N,não consta,não consta,DPH/SMC,Coluna,bronze concreto e granito,não consta,não consta,desconhecido,Praça República Lituana
1989,1989,Monumento Mohamed V,homem,Praça Rodrigues de Abreu,-23.57162,-46.64085,N,não consta,não consta,DPH/SMC,Fonte,alvenaria e mosaico marroquino,não consta,não consta,"CHABAA, Mohamed",Praça Rodrigues de Abreu
2007,2007,Estrela Cadente,não figurativo,Praça Rotary Club,-23.555192,-46.635461,N,não consta,não consta,DPH/SMC,Escultura Figurativa,aço pintado,não consta,não consta,"BUENO, Renata",Praça Rotary Club de Săo Paulo - Butantă
1994,ca. 1994,Salah Saliby,homem,Praça Salan Saliby,-23.59465,-46.65379,N,não consta,não consta,DPH/SMC,Herma,bronze e granito,não consta,não consta,desconhecido,Praça Salah Saliby
1900,19--,Cristo Redentor,homem,Praça Salvador Allende,-23.61875,-46.61017,N,não consta,não consta,DPH/SMC,Estátua,argamassa armada,não consta,não consta,desconhecido,Praça Salvador Allende
1989,ca. 1989,Salvador Allende,homem,Praça Salvador Allende,-23.61875,-46.61017,N,não consta,não consta,DPH/SMC,Marco,granito e bronze,não consta,não consta,desconhecido,Praça Salvador Allende
1938,1938,Cruz de Anchieta,não figurativo,Praça Santa Cruz,-23.64847,-46.70248,N,não consta,não consta,DPH/SMC,Cruzeiro,granitobronze e azulejos,não consta,não consta,"LARROCA, Vicente; RODRIGUES, José Wasth",Praça Santa Cruz
2008,2008,Măo Que Segura Pedra Pequena,não figurativo,Praça Silva Teles,-23.49731,-46.40067,N,não consta,não consta,DPH/SMC,Escultura Figurativa,aço e concreto,não consta,não consta,"MARTINS, Juarez",Praça Silva Teles
2002,2002,Parque das Cores do Escuro,não figurativo,Praça Soichiro Honda,-23.59217,-46.6506,N,não consta,não consta,DPH/SMC,Instalação Artística,"quartzo rosa, verde, branco e marrom; granito; magnetita com calcita branca, calcita vermelha, serpentinita preta",não consta,não consta,"TOLEDO, Amelia",Praça Soichiro Honda
2002,2002,Mahatma Gandhi,homem,Praça Túlio Fontoura,-23.58116,-46.65753,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"PAL, Gautan",Praça Túlio Fontoura
1981,ca. 1981,Túlio Fontoura,homem,Praça Túlio Fontoura,-23.58116,-46.65753,N,não consta,não consta,DPH/SMC,Cabeça,bronze argamassa e mármore,não consta,não consta,desconhecido,Praça Túlio Fontoura
1900,19--,Praça Uirapuru,não figurativo,Praça Uirapuru,-23.59283,-46.70031,N,não consta,não consta,DPH/SMC,Marco,bronze e granito,não consta,não consta,desconhecido,Praça Uirapuru
1997,ca. 1997,Vicente Mateus,homem,Praça Vicente Matheus,-23.54869,-46.60208,N,não consta,não consta,DPH/SMC,Totem,bronze e concreto,não consta,não consta,desconhecido,Praça Vicente Mateus
2007,,Andando - Monumento a Săo Paulo,não figurativo,Praça Vinícius de Moraes,-23.59791,-46.71163,N,não consta,não consta,DPH/SMC,Estátua,bronze e alvenaria revestida de granito,não consta,não consta,"EMENDABILI, Galileo",Praça Vinicius de Moraes
2019,2019,Ampliação do Troféu do Prêmio Jornalístico Vladimir Herzog,não figurativo,Praça Vladimir Herzog,-23.43468,-46.77579,N,não consta,não consta,DPH/SMC,Escultura,"Alumínio, concreto armado e granito preto",não consta,não consta,"ANDREATO, Elifas",Praça Vladimir Herzog
1988,ca. 1988,Monumento ŕ Saúde,não figurativo,Praça Willian Colgate,-23.55465,-46.74277,N,não consta,não consta,DPH/SMC,Grupo escultórico,bronze granito e azulejos,não consta,não consta,"CANATO, J.C.",Praça Willian Colgate
1994,1994,Monumento ao Pêssego,não figurativo,Praça Yasuo Yamamoto,-23.5689,-46.44721,N,não consta,não consta,DPH/SMC,Marco,concreto e bronze,não consta,não consta,desconhecido,Praça Yasuo Yamamoto
1970,197-,Monumento ŕ Legalidade,não figurativo,Rua Amambaí,-23.52,-46.58676,N,não consta,não consta,DPH/SMC,Estátua,bronze,não consta,não consta,"LAROCCA, Vicente","Rua Amambaí, 9 (interior do III Batalhăo de Choque da Polícia Militar de Săo Paulo)"
1974,1974,David,homem,Rua Canuto de Abreu,-23.5556,-46.55968,N,não consta,não consta,DPH/SMC,Estátua,argamassa armada e bronze,não consta,não consta,desconhecido,Rua Canuto Abreu (em frente ao CERET)
1989,1989,Cora Coralina,mulher,Rua Cora Coralina,-23.582281,-46.664806,N,não consta,não consta,DPH/SMC,Herma,bronze concreto e granito,não consta,não consta,"AGOSTINHO, Aucione Torres",Praça Cora Coralina
1980,1980,Thomas Alva Edson,homem,Rua da Consolação,-23.55193,-46.65783,N,não consta,não consta,DPH/SMC,Marco,concreto e neon,não consta,não consta,"FILHO, Joăo Valente",Rua da Consolaçăo (cruzamento com Avenida Paulista)
2014,2014,Totem em Homenagem a Dona Michie Akama,mulher,Rua Domingos de Morais,-23.59115,-46.63545,N,não consta,não consta,DPH/SMC,Totem,granito e basalto,não consta,não consta,"KAMIMURA, Massayoshi",Av. Domingos de Moraes x Rua Luís Góis
1958,ca. 1958,Rua Engenheiro Edgard Egydio de Souza,não figurativo,Rua Engenheiro Edgard Egídio de Sousa,-23.54171,-46.66353,N,não consta,não consta,DPH/SMC,Marco,alvenaria de tijolos e bronze,não consta,não consta,desconhecido,Rua Engenheiro Edgar Egydio de Souza
1994,ca. 1994,Nossa Senhora de Fatima,mulher,Rua Engenheiro Mário Leite,-23.64572,-46.71983,N,não consta,não consta,DPH/SMC,Estátua,gesso argamassa e correntes de ferro,não consta,não consta,desconhecido,Praça Engenheiro Mário Ricci
1916,ca. 1916,Marco Rodoviário,não figurativo,Rua França Pinto,-23.58823,-46.64382,S,https://www.prefeitura.sp.gov.br/cidade/upload/1313_1382134216.pdf,não consta,DPH/SMC,Marco quilométrico,concreto de pedregulho com argamassa de cimento,não consta,RES. 13/2013,desconhecido,Rua França Pinto (esquina com Rua Domingos de Moraes)
2003,2003,Grande Fita Amarela,não figurativo,Rua Gália,-23.57714,-46.70467,N,não consta,não consta,DPH/SMC,Escultura Abstrata,aço pintado,não consta,não consta,"WEISSMANN, Franz",Rua Gália
1974,1974,Bairro Oriental,não figurativo,Rua Galvão Bueno,-23.56023,-46.6349,N,não consta,não consta,DPH/SMC,Marco,granito,não consta,não consta,desconhecido,"Rua Galvăo Bueno, 83"
1999,1999,Yoshikazu Tanaka,homem,Rua Galvão Bueno,-23.56023,-46.6349,N,não consta,não consta,DPH/SMC,Herma,bronze e concreto,não consta,não consta,desconhecido,"Rua Galvăo Bueno, 83"
1974,1974,Sport Club Corinthians Paulista,não figurativo,Rua José Paulino,-23.53029,-46.63945,N,não consta,não consta,DPH/SMC,Marco,granito e aço escovado,não consta,não consta,desconhecido,Rua José Paulino (esquina com a Rua Cônego Martins)
1945,1945,Tempo,não figurativo,Rua Major Natanael,-23.55427,-46.66704,N,não consta,não consta,DPH/SMC,Estátua,granito,não consta,não consta,"FERRI, Joăo Batista",Rua Major Natanael (muro do Cemitério do Araçá)
1970,197-,Fundadores de Săo Paulo,homem,Rua Manoel da Nóbrega,-23.56855,-46.6491,N,não consta,não consta,DPH/SMC,Grupo escultórico (MONUMENTO),bronze e granito,não consta,não consta,"MORRONE, Luiz",Rua Manoel da Nóbrega (próximo a Avenida Sargento Mário Kozel Filho)
2002,2002,Beato Ludovico Pavoni,homem,Rua Padre Ludovico Zanol,-23.46777,-46.58513,N,não consta,não consta,DPH/SMC,Busto,bronze e granito,não consta,não consta,desconhecido,Praça Beato Padre Ludovico Pavoni
1929,ca. 1929,Nível da Enchente de 1929,não figurativo,Rua Porto Seguro,-23.52267,-46.62751,N,não consta,não consta,DPH/SMC,Placa,bronze e concreto,não consta,não consta,desconhecido,"Rua Porto Seguro, 56 (calçada)"
2018,2018,Uri,homem,Rua Prates,-23.52907,-46.63579,N,não consta,não consta,DPH/SMC,Monumento,aço corten,não consta,não consta,"KIM, Samuel",Canteiro central do cruzamento entre as Ruas Prates e Ribeiro de Lima
1916,ca. 1916,Marco Rodoviário,não figurativo,Rua Silva Bueno,-23.58481,-46.60194,S,https://www.prefeitura.sp.gov.br/cidade/upload/1313_1382134216.pdf,não consta,DPH/SMC,Marco quilométrico,concreto de pedregulho com argamassa de cimento,não consta,RES. 13/2013,desconhecido,Rua Silva Bueno (lado oposto do nº 375)
2014,26/09/2014,Marco Zero do Hiphop,não figurativo,Rua Três de Maio,-23.5999,-46.64206,N,não consta,não consta,DPH/SMC,Marco,granito,não consta,não consta,desconhecido,"Rua 24 de maio, 168 - esquina com a R. Dom José de Barros"
1986,1986,Săo José do Bexiga,homem,Rua Treze de Maio,-23.56242,-46.64575,N,não consta,não consta,DPH/SMC,Estátua,argamassa armada,não consta,não consta,desconhecido,Rua 13 de Maio (escadarias do Bexiga)
1995,1995,Velocidade Alma e Emoçăo,homem,Rua Viário Ayrton Senna Complexo,-23.58717,-46.65595,N,não consta,não consta,DPH/SMC,Escultura Figurativa,bronze e granito,não consta,não consta,"GARCIA, Melinda",Complexo Viário Ayrton Senna
1976,ca. 1976,Guilherme Quandt de Oliveira,homem,Rua Vital de Oliveira,-23.50274,-46.60111,N,não consta,não consta,DPH/SMC,Busto,bronze e cimento,não consta,não consta,"BERTON,I Sérgio",Praça Guilherme Quandt de Oliveira
2016,2016,Rítmica Genética Global,não figurativo,Teatro Raul Cortez,-23.55771,-46.65209,N,não consta,não consta,DPH/SMC,Estátua,bronze concreto e fibra de vidro,não consta,não consta,"DELMANTO, Paula",Praça Raul Cortez
1998,1998,Luís Eduardo Magalhăes,homem,Viaduto Deputado Luís Eduardo Magalhães,-23.63466,-46.66917,N,não consta,não consta,DPH/SMC,Máscara totem,bronze e concreto,não consta,não consta,"FERNANDES, Cláudia",Viaduto Deputado Luís Eduardo Magalhăes
1980,198-,Francisco Mignone,homem,Viaduto do Chá,-23.54623,-46.63835,N,não consta,não consta,DPH/SMC,Herma,bronze e mármore,não consta,não consta,"GIORG, I Bruno",Baixos do Viaduto do Chá (interior do Museu do Teatro Municipal)
2008,2008,Guanabara,não figurativo,Viaduto do Chá,-23.54623,-46.63835,N,não consta,não consta,DPH/SMC,Estátua,granito,não consta,não consta,"FERRI, Joăo Batista",Viaduto do Chá (cabeceira) em frente ao Edifício Matarazzo